age,type-of-employment,hours-worked,occupation,Degree,Years of education,Martial-status,Race,Sex,Native Country,income-80k+
47,Self-Employed,61,Professionals, HS-grad,12, Divorced, White, Male, United-States,0
43,Private,40,Technical, Some-college,13, Married-civ-spouse, White, Male, United-States,1
46,Private,40,Technical, 5th-6th,6, Married-civ-spouse, White, Male, Mexico,0
35,Private,40,Service, Assoc-voc,14, Married-civ-spouse, White, Male, Puerto-Rico,0
41,Private,40,Admins, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
30,Private,40,Technical, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
30,Private,40,Sales, Bachelors,16, Married-civ-spouse, White, Male, United-States,0
32,Private,40,Service, 7th-8th,7, Married-spouse-absent, White, Male, ?,0
48,Private,40,Logistics, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
42,Private,40,Professionals, Doctorate,19, Married-civ-spouse, White, Male, United-States,1
29,Private,59,Technical, Some-college,13, Divorced, White, Male, United-States,0
36,Private,40,Craft, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
28,Private,40,Admins, Some-college,13, Divorced, White, Female, United-States,0
53,Private,40,Admins, HS-grad,12, Married-civ-spouse, White, Female, United-States,1
49,Self-Employed,59,Professionals, Some-college,13, Married-civ-spouse, White, Male, United-States,1
25,Private,40,Service, Some-college,13, Never-married, White, Male, United-States,0
19,Private,39,Professionals, Some-college,13, Never-married, White, Male, United-States,0
31,Private,40,Sales, Bachelors,16, Separated, Black, Female, United-States,0
29,Self-Employed,61,Sales, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
23,Private,40,Technical, Some-college,13, Never-married, White, Male, United-States,0
79,Private,29,Professionals, Some-college,13, Married-civ-spouse, White, Male, United-States,0
27,Private,40,Service, HS-grad,12, Never-married, White, Male, Mexico,0
40,Private,40,Admins, Assoc-acdm,15, Married-civ-spouse, White, Male, United-States,0
67,Private,19,Service, 10th,9, Married-civ-spouse, White, Male, United-States,0
18,Private,29,Service, 11th,10, Never-married, White, Female, United-States,0
31,Government,40,Farming, 7th-8th,7, Married-civ-spouse, White, Male, United-States,0
18,Private,39,Sales, HS-grad,12, Never-married, White, Male, United-States,0
52,Private,40,Service, Bachelors,16, Married-civ-spouse, White, Male, Cuba,0
46,Private,40,Service, HS-grad,12, Married-civ-spouse, White, Female, United-States,0
59,Private,40,Sales, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
44,Private,40,Craft, HS-grad,12, Divorced, White, Female, United-States,1
53,Private,39,Sales, HS-grad,12, Divorced, White, Female, United-States,0
49,Government,40,Security, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
33,Private,59,Professionals, Masters,17, Married-civ-spouse, White, Male, United-States,0
30,Private,40,Sales, 9th,8, Never-married, White, Male, United-States,0
43,Government,59,Professionals, Doctorate,19, Never-married, White, Female, United-States,1
57,Private,40,Professionals, Assoc-voc,14, Married-civ-spouse, White, Male, United-States,0
37,Private,40,Craft, Some-college,13, Divorced, White, Female, United-States,0
28,Private,29,Technical, Some-college,13, Divorced, Black, Female, United-States,0
30,Private,39,Sales, HS-grad,12, Married-civ-spouse, Asian-Pac-Islander, Female, ?,0
34,Government,40,Security, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
29,Government,59,Service, Some-college,13, Never-married, White, Male, United-States,0
48,Self-Employed,61,Professionals, Doctorate,19, Married-civ-spouse, White, Male, United-States,1
37,Private,40,Sales, Some-college,13, Married-civ-spouse, White, Male, United-States,1
48,Private,40,Professionals, Assoc-acdm,15, Divorced, White, Female, England,0
32,Government,40,Service, HS-grad,12, Never-married, Black, Male, United-States,0
76,Private,40,Professionals, Masters,17, Married-civ-spouse, White, Male, United-States,1
44,Private,61,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
47,Self-Employed,59,Professionals, Masters,17, Never-married, White, Female, United-States,0
20,Private,40,Technical, Some-college,13, Never-married, White, Female, United-States,0
29,Private,40,Craft, HS-grad,12, Never-married, White, Male, United-States,0
32,Self-Employed,40,Craft, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
17,Private,39,Service, 10th,9, Never-married, White, Female, United-States,0
30,Private,40,Service, 11th,10, Never-married, White, Male, United-States,0
31,Government,40,Admins, HS-grad,12, Never-married, White, Female, United-States,0
42,Private,40,Service, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
24,Private,40,Sales, Bachelors,16, Never-married, White, Male, United-States,0
38,Private,40,Professionals, Prof-school,18, Married-civ-spouse, White, Male, United-States,1
56,Self-Employed,59,Service, HS-grad,12, Married-civ-spouse, White, Male, Canada,1
28,Private,29,Sales, Some-college,13, Married-civ-spouse, White, Female, United-States,0
36,Private,40,Technical, HS-grad,12, Never-married, White, Female, United-States,0
53,Private,59,Service, 9th,8, Married-civ-spouse, White, Male, United-States,0
56,Self-Employed,59,Sales, Some-college,13, Married-civ-spouse, White, Male, United-States,0
49,Government,40,Craft, Assoc-voc,14, Married-civ-spouse, Black, Male, United-States,1
55,Private,59,Sales, Some-college,13, Married-civ-spouse, White, Male, United-States,0
22,Private,40,Craft, HS-grad,12, Never-married, White, Male, United-States,0
21,Private,40,Service, Some-college,13, Never-married, White, Female, United-States,0
40,Private,61,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,0
30,Private,40,Professionals, Bachelors,16, Never-married, Black, Male, Germany,0
29,Government,59,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
19,Private,39,Service, Some-college,13, Never-married, Black, Male, United-States,0
47,Private,40,Professionals, Bachelors,16, Married-civ-spouse, White, Female, United-States,1
20,Private,29,Admins, Some-college,13, Never-married, White, Female, United-States,0
31,Private,40,Admins, Assoc-acdm,15, Married-civ-spouse, White, Male, United-States,1
35,Private,40,Service, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
39,Private,40,Craft, Some-college,13, Divorced, White, Male, United-States,0
28,Private,61,Sales, Assoc-acdm,15, Never-married, White, Female, United-States,0
24,Private,40,Service, HS-grad,12, Never-married, White, Female, United-States,0
38,Self-Employed,39,Craft, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
37,Private,59,Sales, Bachelors,16, Married-civ-spouse, White, Male, United-States,0
46,Private,39,Technical, Assoc-acdm,15, Divorced, Black, Female, United-States,0
38,Government,40,Professionals, Masters,17, Married-civ-spouse, White, Male, Iran,1
43,Self-Employed,61,Craft, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
27,Private,39,Admins, Assoc-voc,14, Married-civ-spouse, White, Female, United-States,0
20,Private,29,Sales, Some-college,13, Never-married, White, Male, United-States,0
49,Private,40,Craft, Some-college,13, Married-civ-spouse, Asian-Pac-Islander, Male, United-States,1
61,Self-Employed,40,Craft, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
27,Private,40,Sales, Some-college,13, Never-married, White, Female, United-States,0
19,Private,39,Service, Some-college,13, Never-married, White, Male, Mexico,0
45,Private,40,Professionals, Assoc-voc,14, Never-married, White, Female, United-States,1
70,Private,40,Technical, Some-college,13, Never-married, White, Male, United-States,0
31,Private,39,Logistics, HS-grad,12, Never-married, Black, Female, United-States,0
22,Private,29,Service, Some-college,13, Married-civ-spouse, White, Male, United-States,0
36,Private,29,Service, HS-grad,12, Widowed, White, Female, United-States,0
64,Private,40,Craft, 11th,10, Married-civ-spouse, White, Male, United-States,0
43,Private,40,Service, Some-college,13, Divorced, White, Female, United-States,0
47,Government,39,Admins, Some-college,13, Divorced, White, Female, Mexico,0
34,Private,40,Admins, HS-grad,12, Never-married, White, Female, United-States,0
33,Private,40,Professionals, Bachelors,16, Never-married, Asian-Pac-Islander, Female, Philippines,0
21,Private,39,Craft, HS-grad,12, Never-married, White, Male, United-States,0
52,Private,40,Service, HS-grad,12, Divorced, White, Male, United-States,1
48,Private,40,Craft, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
23,Private,40,Service, Bachelors,16, Never-married, White, Male, United-States,0
71,Self-Employed,19,Sales, Some-college,13, Separated, Black, Male, United-States,0
29,Private,61,Craft, HS-grad,12, Divorced, White, Male, United-States,0
42,Private,59,Service, Bachelors,16, Separated, Black, Male, United-States,0
68,Private,29,Service, 1st-4th,5, Divorced, White, Female, United-States,0
25,Private,40,Service, HS-grad,12, Never-married, White, Female, United-States,0
44,Self-Employed,40,Professionals, Masters,17, Divorced, Asian-Pac-Islander, Female, United-States,0
28,Private,40,Professionals, HS-grad,12, Never-married, Asian-Pac-Islander, Female, England,0
45,Self-Employed,40,Sales, Masters,17, Married-civ-spouse, White, Male, United-States,1
36,Private,40,Service, Some-college,13, Divorced, White, Female, Mexico,0
39,Government,40,Professionals, Assoc-acdm,15, Never-married, White, Male, United-States,0
46,Government,40,Security, Masters,17, Widowed, White, Male, United-States,0
18,Private,19,Service, 11th,10, Never-married, White, Male, United-States,0
66,Government,29,Professionals, Assoc-voc,14, Widowed, White, Female, United-States,0
27,Private,40,Service, HS-grad,12, Never-married, White, Male, United-States,0
28,Government,40,Security, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
51,Private,40,Sales, Some-college,13, Married-civ-spouse, White, Male, United-States,1
27,Private,59,Craft, Bachelors,16, Never-married, White, Male, United-States,0
28,Government,40,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
27,Private,29,Sales, HS-grad,12, Married-spouse-absent, White, Female, United-States,0
21,Private,40,Craft, HS-grad,12, Never-married, Black, Male, United-States,0
34,Private,40,Service, HS-grad,12, Never-married, Black, Male, United-States,0
18,Private,19,Service, HS-grad,12, Never-married, White, Male, United-States,0
33,Private,61,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,0
44,Government,39,Professionals, Some-college,13, Married-civ-spouse, Black, Male, United-States,1
43,Private,40,Admins, Some-college,13, Divorced, White, Female, United-States,0
30,Private,40,Craft, Some-college,13, Never-married, Black, Male, United-States,0
40,Private,40,Technical, 7th-8th,7, Married-civ-spouse, White, Male, Mexico,1
37,Government,40,Admins, Some-college,13, Married-civ-spouse, White, Male, United-States,1
34,Private,40,Admins, HS-grad,12, Married-civ-spouse, Black, Male, United-States,0
41,Self-Employed,40,Professionals, Bachelors,16, Divorced, White, Female, United-States,0
53,Private,59,Service, Bachelors,16, Divorced, White, Female, United-States,0
31,Private,59,Professionals, Masters,17, Married-civ-spouse, White, Female, United-States,0
58,Government,19,Professionals, Doctorate,19, Married-civ-spouse, White, Male, United-States,1
38,Private,29,Technical, Some-college,13, Divorced, Black, Female, United-States,0
24,Private,40,Technical, Some-college,13, Married-civ-spouse, White, Male, United-States,0
41,Government,40,Craft, Bachelors,16, Married-civ-spouse, Black, Male, United-States,0
47,Private,40,Technical, Some-college,13, Married-civ-spouse, White, Male, United-States,0
41,Government,29,Technical, Bachelors,16, Married-civ-spouse, White, Male, United-States,0
23,Private,40,Logistics, 5th-6th,6, Married-civ-spouse, White, Male, Mexico,0
36,Private,40,Craft, Some-college,13, Divorced, White, Male, United-States,0
40,Government,59,Professionals, Masters,17, Never-married, White, Female, United-States,1
35,Private,40,Professionals, Masters,17, Married-civ-spouse, White, Male, United-States,1
24,Self-Employed,40,Sales, HS-grad,12, Never-married, White, Male, United-States,0
26,Private,40,Professionals, Masters,17, Never-married, White, Female, United-States,0
19,Private,40,Service, HS-grad,12, Never-married, White, Male, Italy,0
51,Private,59,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
42,Government,40,Professionals, Some-college,13, Never-married, White, Female, United-States,0
37,Government,39,Admins, HS-grad,12, Divorced, White, Female, United-States,0
18,Private,40,Sales, 11th,10, Never-married, White, Female, United-States,0
36,Private,39,Service, Bachelors,16, Married-civ-spouse, Black, Male, United-States,1
35,Private,61,Craft, HS-grad,12, Divorced, White, Male, United-States,0
58,Self-Employed,39,Sales, HS-grad,12, Married-civ-spouse, White, Female, United-States,1
17,Private,19,Sales, 11th,10, Never-married, White, Female, United-States,0
44,Government,40,Logistics, HS-grad,12, Married-civ-spouse, Black, Male, United-States,0
37,Private,40,Craft, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
35,Private,40,Sales, Some-college,13, Never-married, Amer-Indian-Eskimo, Female, United-States,0
60,Private,40,Craft, HS-grad,12, Married-civ-spouse, Asian-Pac-Islander, Male, United-States,0
54,Self-Employed,40,Technical, 7th-8th,7, Married-civ-spouse, White, Male, United-States,1
37,Private,61,Professionals, Bachelors,16, Never-married, Black, Male, United-States,1
50,Private,40,Sales, Assoc-acdm,15, Divorced, White, Female, United-States,0
38,Private,59,Sales, Bachelors,16, Married-civ-spouse, White, Male, Poland,0
45,Private,59,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,0
25,Private,40,Craft, 10th,9, Never-married, White, Male, United-States,0
31,Private,40,Service, Some-college,13, Married-civ-spouse, White, Male, United-States,0
64,Private,40,Service, 1st-4th,5, Divorced, White, Male, United-States,0
90,Private,40,Service, HS-grad,12, Never-married, Black, Male, United-States,0
54,Private,29,Admins, HS-grad,12, Married-civ-spouse, Black, Male, United-States,0
53,Government,39,Technical, Preschool,4, Never-married, White, Female, United-States,0
18,Private,40,Sales, HS-grad,12, Never-married, White, Female, United-States,0
60,Private,19,Service, 10th,9, Divorced, Amer-Indian-Eskimo, Female, United-States,0
66,Self-Employed,59,Farming, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
75,Private,29,Admins, Assoc-voc,14, Widowed, White, Female, Columbia,0
65,Private,40,Admins, HS-grad,12, Divorced, White, Female, United-States,0
35,Private,40,Logistics, 11th,10, Separated, Black, Male, United-States,0
41,Private,39,Sales, HS-grad,12, Divorced, Black, Female, United-States,0
25,Private,40,Admins, Some-college,13, Never-married, White, Male, United-States,0
33,Private,40,Craft, Some-college,13, Divorced, Other, Female, United-States,0
28,Private,59,Professionals, Prof-school,18, Never-married, White, Male, United-States,1
59,Government,40,Service, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
40,Government,39,Admins, Some-college,13, Never-married, White, Female, United-States,0
41,Private,59,Professionals, Bachelors,16, Married-civ-spouse, White, Male, Iran,1
38,Government,61,Professionals, Masters,17, Married-civ-spouse, White, Male, United-States,1
23,Private,40,Logistics, HS-grad,12, Never-married, White, Male, United-States,0
40,Private,40,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
41,Self-Employed,29,Service, HS-grad,12, Married-civ-spouse, White, Female, United-States,0
24,Government,59,Security, Assoc-acdm,15, Married-civ-spouse, White, Male, United-States,0
20,Private,29,Service, Some-college,13, Never-married, White, Male, United-States,0
38,Private,40,Craft, Some-college,13, Divorced, White, Male, United-States,0
56,Private,39,Admins, HS-grad,12, Married-civ-spouse, White, Male, ?,0
58,Private,40,Admins, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
32,Private,39,Service, HS-grad,12, Never-married, White, Female, United-States,0
40,Private,61,Technical, Assoc-acdm,15, Married-civ-spouse, White, Male, United-States,1
45,Private,40,Admins, HS-grad,12, Married-civ-spouse, White, Male, ?,0
41,Private,40,Professionals, Prof-school,18, Married-civ-spouse, White, Female, United-States,1
42,Private,40,Admins, Bachelors,16, Married-civ-spouse, Black, Female, United-States,0
59,Government,39,Service, 10th,9, Widowed, Black, Female, United-States,0
19,Government,40,Admins, Some-college,13, Never-married, White, Male, United-States,0
58,Private,29,Logistics, Some-college,13, Never-married, White, Male, United-States,0
42,Self-Employed,40,Farming, HS-grad,12, Married-civ-spouse, Asian-Pac-Islander, Male, Cambodia,1
20,Private,40,Service, HS-grad,12, Never-married, White, Female, United-States,0
32,Private,39,Service, HS-grad,12, Separated, White, Female, United-States,0
45,Private,40,Professionals, Assoc-voc,14, Widowed, White, Female, United-States,0
50,Private,40,Craft, 7th-8th,7, Divorced, White, Male, United-States,0
36,Private,40,Professionals, Bachelors,16, Divorced, White, Female, United-States,0
45,Private,61,Sales, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
17,Private,19,Service, 11th,10, Never-married, White, Male, United-States,0
59,Private,40,Sales, Some-college,13, Married-civ-spouse, White, Male, United-States,0
26,Private,40,Craft, 11th,10, Married-civ-spouse, White, Male, United-States,0
37,Self-Employed,61,Professionals, Some-college,13, Married-civ-spouse, Asian-Pac-Islander, Male, Thailand,1
19,Private,29,Service, Some-college,13, Never-married, White, Male, Canada,0
64,Private,40,Professionals, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
33,Private,40,Professionals, Bachelors,16, Never-married, White, Female, United-States,0
33,Private,40,Craft, HS-grad,12, Married-civ-spouse, White, Female, United-States,1
61,Private,40,Professionals, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
17,Private,29,Service, 9th,8, Never-married, White, Male, United-States,0
50,Self-Employed,61,Farming, Masters,17, Married-civ-spouse, White, Male, United-States,0
27,Government,39,Professionals, Masters,17, Never-married, White, Male, United-States,0
30,Private,40,Professionals, HS-grad,12, Divorced, White, Female, United-States,0
43,Private,40,Service, HS-grad,12, Married-civ-spouse, Black, Male, United-States,0
44,Private,40,Craft, Some-college,13, Married-civ-spouse, White, Male, United-States,1
35,Private,40,Professionals, Some-college,13, Never-married, White, Female, United-States,0
25,Private,40,Technical, Some-college,13, Never-married, White, Female, United-States,0
24,Private,40,Technical, Some-college,13, Married-civ-spouse, White, Female, United-States,1
22,Private,19,Professionals, Bachelors,16, Never-married, White, Female, Germany,0
42,Government,40,Craft, Some-college,13, Married-civ-spouse, White, Male, United-States,1
34,Private,40,Sales, Assoc-acdm,15, Divorced, Black, Female, United-States,0
60,Private,40,Professionals, Bachelors,16, Divorced, White, Female, United-States,0
21,Private,40,Service, HS-grad,12, Never-married, White, Male, United-States,0
57,Government,40,Sales, Masters,17, Married-civ-spouse, White, Male, United-States,1
41,Private,61,Professionals, Prof-school,18, Married-civ-spouse, White, Male, United-States,1
50,Private,40,Service, Some-college,13, Divorced, White, Male, United-States,0
25,Private,40,Professionals, Bachelors,16, Never-married, White, Female, United-States,0
50,Private,40,Craft, 7th-8th,7, Married-civ-spouse, White, Male, Ecuador,0
36,Private,40,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,0
31,Private,40,Professionals, HS-grad,12, Divorced, White, Female, United-States,0
29,Government,59,Security, Bachelors,16, Never-married, White, Male, United-States,0
21,Private,40,Sales, Some-college,13, Never-married, White, Male, United-States,0
27,Private,40,Technical, Bachelors,16, Never-married, Black, Female, United-States,0
65,Private,19,Logistics, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
37,Self-Employed,61,Sales, Bachelors,16, Divorced, White, Female, United-States,0
39,Private,40,Service, Masters,17, Married-civ-spouse, Asian-Pac-Islander, Female, ?,0
24,Private,40,Craft, HS-grad,12, Never-married, White, Male, United-States,0
38,Private,61,Sales, HS-grad,12, Divorced, White, Male, United-States,0
48,Private,40,Admins, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
21,Private,29,Service, Some-college,13, Never-married, Asian-Pac-Islander, Female, United-States,0
31,Private,40,Logistics, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
55,Private,40,Sales, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
24,Private,40,Admins, Some-college,13, Married-civ-spouse, Asian-Pac-Islander, Female, Laos,0
43,Private,40,Admins, HS-grad,12, Divorced, White, Female, United-States,0
26,Private,40,Technical, Assoc-acdm,15, Never-married, White, Male, United-States,0
46,Private,39,Professionals, Assoc-acdm,15, Never-married, White, Female, United-States,0
35,Private,40,Admins, Assoc-acdm,15, Married-civ-spouse, White, Male, United-States,1
41,Self-Employed,59,Farming, Some-college,13, Married-civ-spouse, White, Male, United-States,1
26,Private,40,Sales, Bachelors,16, Never-married, White, Male, United-States,0
34,Private,39,Professionals, Masters,17, Married-civ-spouse, Asian-Pac-Islander, Male, Taiwan,1
19,Private,29,Service, Some-college,13, Never-married, Black, Female, United-States,0
36,Self-Employed,40,Professionals, Bachelors,16, Divorced, Black, Female, United-States,1
22,Private,19,Sales, Some-college,13, Never-married, White, Male, United-States,0
24,Private,40,Technical, Some-college,13, Never-married, White, Male, United-States,0
77,Self-Employed,40,Sales, Some-college,13, Married-civ-spouse, White, Male, United-States,0
22,Private,40,Technical, 5th-6th,6, Married-civ-spouse, White, Female, Mexico,0
29,Private,40,Technical, Some-college,13, Never-married, White, Female, United-States,0
62,Private,29,Service, HS-grad,12, Widowed, White, Female, United-States,0
39,Self-Employed,40,Professionals, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
43,Private,59,Craft, Some-college,13, Married-civ-spouse, White, Male, United-States,0
35,Private,40,Logistics, HS-grad,12, Divorced, White, Male, United-States,0
29,Private,40,Professionals, 11th,10, Never-married, White, Female, United-States,0
76,Self-Employed,19,Craft, Masters,17, Married-civ-spouse, White, Male, United-States,0
63,Self-Employed,40,Farming, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
23,Private,19,Service, Assoc-voc,14, Never-married, Black, Female, United-States,0
43,Private,59,Professionals, Some-college,13, Married-civ-spouse, White, Female, United-States,1
58,Self-Employed,40,Service, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
66,Private,59,Logistics, HS-grad,12, Never-married, White, Male, United-States,0
41,Private,40,Craft, Some-college,13, Never-married, Black, Male, United-States,0
26,Private,40,Admins, Bachelors,16, Never-married, White, Male, United-States,0
47,Private,40,Service, Assoc-voc,14, Never-married, White, Male, United-States,0
55,Government,40,Admins, 10th,9, Married-civ-spouse, White, Male, United-States,0
53,Private,40,Logistics, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
17,Private,40,Service, 5th-6th,6, Never-married, White, Male, Mexico,0
30,Private,40,Craft, HS-grad,12, Never-married, White, Male, United-States,0
49,Private,61,Professionals, Masters,17, Never-married, White, Male, United-States,0
19,Private,39,Sales, HS-grad,12, Never-married, Black, Male, Haiti,0
45,Private,40,Service, HS-grad,12, Married-civ-spouse, Black, Male, United-States,0
26,Private,40,Sales, Assoc-acdm,15, Never-married, White, Male, United-States,0
38,Private,40,Craft, Assoc-voc,14, Married-civ-spouse, White, Male, United-States,1
36,Government,40,Security, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
33,Private,29,Farming, HS-grad,12, Never-married, White, Male, United-States,0
22,Government,40,Security, Some-college,13, Never-married, Black, Female, United-States,0
43,Self-Employed,40,Sales, Bachelors,16, Never-married, White, Male, United-States,0
67,Private,19,Service, 11th,10, Married-civ-spouse, White, Male, United-States,0
30,Private,40,Service, Assoc-voc,14, Divorced, White, Female, United-States,0
56,Private,29,Service, Assoc-acdm,15, Married-spouse-absent, White, Male, Iran,0
31,Private,29,Professionals, Bachelors,16, Never-married, White, Male, United-States,0
33,Private,40,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
26,Private,40,Service, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
33,Private,40,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
46,Government,39,Logistics, 11th,10, Married-civ-spouse, White, Male, United-States,0
59,Private,40,Service, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
38,Government,40,Admins, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
65,Private,40,Service, 11th,10, Widowed, Other, Male, United-States,0
40,Private,40,Technical, Assoc-voc,14, Married-civ-spouse, White, Male, United-States,1
42,Private,39,Admins, HS-grad,12, Married-civ-spouse, White, Female, United-States,0
26,Self-Employed,40,Craft, 9th,8, Married-civ-spouse, White, Male, Portugal,0
36,Private,29,Service, 10th,9, Married-civ-spouse, White, Female, United-States,0
62,Private,40,Professionals, Masters,17, Married-civ-spouse, White, Male, United-States,1
